,危险品名称,分子式,相对分子质量,CAS,有害物成分,外观与性状,PH值,熔点,沸点,相对密度,相对蒸汽密度,饱和蒸汽压,临界温度,临界压力,LogP,闪点,引燃温度,燃烧热,爆炸下限,爆炸上限,溶解性,主要用途,稳定性
1565,硝酸,HNO3,63.02,7697-37-2,硝酸,纯品为无色透明发烟液体，有酸味,无资料,-42(无水),83(无水),1.50(无水)(水=1),2～3(空气=1),6.4(20℃)(kPa),None,6.89,0.21,无意义,无意义,None,无意义,无意义,与水混溶，溶于乙醚,用途极广，主要用于化肥、染料、国防、炸药、冶金、医药等工业,稳定
1566,六氯环戊二烯,None,None,77-47-4,None,"黄色至琥珀色油状液体, 有刺激性气味。",None,9.6,239,1.70(水=1),9.42(空气=1),0.012(25℃)(kPa),None,None,None,None,None,None,None,None,不溶于水，溶于乙醚、四氯化碳等多数有机溶剂。,"用于制农药如灭蚁灵, 也用作聚酯树脂和聚氨酯泡沫塑料的阻燃剂。",None
1567,二丁基二(十二酸)锡,None,None,77-58-7,None,无色到淡黄色结晶或黄色液体。,None,22~24,None,1.066(20℃)(水=1),21.8(空气=1),0.027(160℃)(kPa),None,None,None,235(℃),None,None,None,None,不溶于水、甲醇，溶于乙醚、丙酮、苯、四氯化碳、石油醚、酯。,"用于有机合成,用作聚氯乙烯树脂的稳定剂",None
1568,二聚环戊二烯,None,None,77-73-6,None,无色晶体。,None,32.5,172,0.98(35℃)(水=1),4.55(空气=1),1.33(47.6℃)(kPa),None,None,None,26,503,None,1,10,不溶于水，溶于乙醇、乙醚。,用于制乙丙橡胶的第三单体乙叉降冰片烯、多聚环戊二烯农药、聚酯、树脂、塑料的阻燃剂、药物、香料等。,None
1569,3-甲基-3-戊醇,None,None,77-74-7,None,无色液体。,None,-23.6,122.1~122.9,0.8286(水=1),3.53(空气=1),None,None,None,None,46,None,None,None,None,不溶于水，可混溶于醇、醚等。,用作溶剂，也用于有机合成。,None
1570,3-甲基-1-戊炔-3-醇,None,None,77-75-8,None,"无色液体, 有酸的气味和焦灼味。",None,-30.6,122,0.87(水=1),3.38(空气=1),None,None,None,None,26,None,None,None,None,溶于水，溶于乙醇。,用作氯化溶剂的稳定剂、电镀光亮剂、有机合成中间体、溶剂。,None
1571,"2,2-二甲氧基丙烷",C5H12O2,104.15,77-76-9,"2,2-二甲氧基丙烷",无色透明液体,无资料,-47,81,0.85(水=1),3.59(空气=1),8.00(15.8℃)(kPa),None,无资料,1.38,-7,无资料,None,6,31,微溶于水，溶于多数有机溶剂,用于生化研究、有机合成,稳定
1572,乙烯砜,C4H6O2S,None,77-77-0,乙烯砜,无色至淡黄色液体,None,ca -26°C,233-234°C,1.177 g/cm3(水=1),None,1.05 hPa(kPa),None,None,None,102°C,None,None,None,None,与水混溶,None,None
1573,硫酸甲酯,C2H6O4S,126.13,77-78-1,硫酸甲酯,无色或浅黄色透明液体，微带洋葱臭味,<7(1%溶液),-31.8,188(分解),1.33(20℃)(水=1),4.35(空气=1),2.00(76℃)(kPa),None,7.01,0.16,83(开杯); 83.3(闭杯),188,None,3.6,23.3,微溶于水，溶于乙醇、乙醚、丙酮等,用于制造染料及作为胺类和醇类的甲基化剂,稳定
1574,四乙基氢氧化铵,None,None,77-98-5,None,商品为20％的水溶液，为无色或淡黄色液体。,None,40～50(水合物),(分解),1.023(水=1),None,None,None,None,None,无意义,无意义,无意义,无意义,无意义,溶于水。,用作化学试剂和核苷的乙酰化等。,None
1575,丁烯磷粉剂[含量>15%],None,None,7700-17-6,None,淡黄色液体，有轻微酯味。,None,None,135(3.99×10-3kPa),1.19(25℃)(水=1),None,None,None,None,None,None,None,None,None,None,微溶于水，溶于部分有机溶剂。,用作畜用、农用杀虫剂。,None
1576,硫,S,32.06,7704-34-9,硫,淡黄色脆性结晶或粉末，有特殊臭味,无意义,112.8～120,444.6,1.92～2.07(水=1),无资料(空气=1),0.13(183.8℃)(kPa),1040,11.75,0.23,207(闭杯),232,None,35g/m^<3^>,1400g/m^<3^>,不溶于水，微溶于乙醇、乙醚，易溶于二硫化碳、苯、甲苯,用于制造染料、农药、火柴、火药、橡胶、人造丝、药物等,稳定
1577,氢化钛,None,None,7704-98-5,None,暗灰色粉末或结晶。,None,400(分解),None,3.76(水=1),None,None,无意义,无意义,None,无意义,None,None,None,None,None,用于冶金、制氢，用作陶瓷润湿剂。,None
1578,氢化锆,None,None,7704-99-6,None,灰色至黑色粉末。,None,None,None,5.61(水=1),None,None,无意义,无意义,None,270(空气中),None,None,None,None,不溶于水，溶于氢氟酸。,用作强还原剂、氢化剂、高纯分析试剂，也用于冶金工业。,None
1579,三氯化钛,TiCl3,154.25,7705/7/9,三氯化钛,深紫色结晶，易潮解,无意义,440(分解),分解,2.64(水=1),无资料(空气=1),None,None,无资料,无资料,无意义,无意义,None,无意义,无意义,溶于乙醇、乙腈，微溶于氯仿，不溶于乙醚和苯,用作分析试剂及还原剂、聚丙烯催化剂等,稳定
1580,三氯化铁[无水],FeCl3,162.2,7705-08-0,三氯化铁,黑棕色结晶，也有薄片状,无意义,306,319,2.90(水=1),5.61(空气=1),None,None,4.3,无资料,无意义,无意义,None,无意义,无意义,易溶于水，溶于甘油，易溶于甲醇、乙醇、丙酮、乙醚,用作饮用水和废水的处理剂，染料工业的氧化剂和媒染剂，有机合成的催化剂和氧化剂,稳定
1581,氯化镍,NiCl2·6H2O,237.73,7718-54-9,氯化镍,绿色片状结晶，有潮解性。,None,None,None,1.9210(水=1),None,None,无意义,无意义,None,无意义,无意义,无意义,无意义,无意义,易溶于水、醇。,用于镀镍和作氨吸收剂、催化剂等。,None
1582,三氯化钒,None,None,7718-98-1,None,粉红色结晶。,None,425(分解),None,3.00(水=1),None,None,无意义,无意义,None,无意义,无意义,无意义,无意义,无意义,溶于水、醇、醚。,用作试剂和有机合成催化剂。,None
1583,氯化亚砜,Cl2OS,118.9,7719/9/7,氯化亚砜,淡黄色至红色、发烟液体，有强烈刺激气味,无资料,-105,76～79,1.64(水=1),4.1(空气=1),13.3(21.4℃)(kPa),None,4.43,0.92,无意义,无意义,None,无意义,无意义,可混溶于苯、氯仿、四氯化碳等,用于有机合成，农药及医药工业,稳定
1584,三氯化磷,PCl3,137.32,7719/12/2,三氯化磷,无色澄清液体，在潮湿空气中发烟,无资料,-111.8,76,1.57(21℃)(水=1),4.75(空气=1),13.33(21℃)(kPa),None,5.67,2.01,无意义,无意义,None,无意义,无意义,可混溶于二硫化碳、乙醚、四氯化碳、苯,用于制造有机磷化合物，也用作试剂等,稳定
1585,五氯化钽,None,None,7721/1/9,None,"淡黄色晶状粉末, 易潮解。",None,221,239.3,3.68(水=1),None,None,None,None,None,无意义,无意义,无意义,无意义,无意义,溶于醇、王水及浓硫酸、氯仿、四氯化碳、二硫化碳，微溶于乙醇。,用于医药，用作纯金属钽的原料、中间体、有机物氯化剂。,None
1586,高锰酸钾,KMnO4,158.04,7722-64-7,高锰酸钾,深紫色细长斜方柱状结晶，有金属光泽,无意义,240(分解),无资料,2.7(水=1),无资料(空气=1),None,None,无意义,无资料,无意义,无意义,None,无意义,无意义,溶于水、碱液，微溶于甲醇、丙酮、硫酸,主要用作消毒剂、氧化剂、漂白剂、毒气吸收剂、二氧化碳精制剂、水净化剂等,稳定
1587,过氧化氢,H2O2,34.02,7722-84-1,过氧化氢,五色透明液体，有微弱的特殊气味,无资料,-0.4,150.2,1.46(无水)(水=1),1(空气=1),0.67(30℃)(kPa),None,20.99,-1.36,无意义,无意义,None,无意义,无意义,溶于水、乙醇、乙醚，不溶于苯、石油醚,用于漂白、医药，也用作分析试剂,不稳定
1588,红磷,P4,123.88,7723-14-0,红磷,紫红色无定形粉末，无臭，具有金属光泽，暗处不发光,无意义,590(4357kPa),280,2.34(水=1),4.77(空气=1),4357(590℃)(kPa),None,8.1,-0.27,无意义,260,None,48～64mg/m^<3^>,无资料,不溶于水、二硫化碳，微溶于无水乙醇，溶于碱液,用于制造火柴、农药，及用于有机合成,稳定
1589,溴,Br2,159.82,7726-95-6,溴,暗红褐色发烟液体，有刺鼻气味,无资料,-7.25,58.8,3.12(水=1),5.51(空气=1),23.33(20℃)(kPa),None,10.3,1.03,无意义,无意义,None,无意义,无意义,微溶于水，易溶于乙醇、乙醚、苯、氯仿、二硫化碳、盐酸,用作分析试剂、氧化剂、烯烃吸收剂、溴化剂，用于有机合成,稳定
1590,三溴化铝[无水],AlBr3,266.71,7727-15-3,三溴化铝,白色或淡黄色片状或块状固体，易潮解,无意义,97.5,263.3～265,3.203(水=1),无资料(空气=1),0.13(81℃)(kPa),None,无资料,无资料,无意义,无意义,None,无意义,无意义,易溶于乙醇、乙醚、二硫化碳等,用作分析试剂、有机合成异构化的催化剂,稳定
1591,三氯氧化钒,None,None,7727-18-6,None,柠檬黄液体。,None,-77 ±2,126.7,1.811(32℃)(水=1),5.98(空气=1),None,None,None,None,无意义,无意义,无意义,无意义,无意义,溶于乙醇、丙酮、乙酸、四氯化碳、烃类。,用作烯烃聚合催化剂和用于合成有机钒化合物。,None
1592,过硫酸钾,K2S2O8,272.34,7727-21-1,过硫酸钾,五色三斜细晶或白色片状结晶，无气味，有潮解性,无意义,100(分解),无资料,2.48(水=1),无资料(空气=1),None,None,无意义,无资料,无意义,无意义,None,无意义,无意义,性溶于水，不溶于乙醇,用作漂白剂、还原剂、照相药品、分析试剂、聚合促进剂等,稳定
1593,氮,N2,28.01,7727-37-9,氮,无色无味压缩气体,无意义,-209.9,-196,0.81(-196℃)(水=1),0.97(空气=1),1026.42(-173℃)(kPa),-147.1,3.4,0.67,无意义,无意义,None,无意义,无意义,微溶于水、乙醇，溶于液氨,用于合成氨，制硝酸，用作物质保护剂、冷冻剂等,稳定
1594,过硫酸铵,(NH4)2S2O8,228.22,7727-54-0,过硫酸铵,无色单斜晶体，有时略带浅绿色，有潮解性,无意义,120(分解),(分解),1.98(水=1),7.9(空气=1),None,None,无意义,无资料,无意义,无意义,None,无意义,无意义,易溶于水,用作氧化剂、漂白剂、照相材料、分析试剂等,稳定
1595,硝酸钾,KNO3,140.21,7757-79-1,硝酸钾,无色透明斜方或三方晶系颗粒或白色粉末,无意义,334,400(分解),2.11(水=1),无资料(空气=1),None,None,无意义,无资料,无资料,无资料,None,无资料,无资料,易溶于水，溶于甘油，不溶于无水乙醇、乙醚,用于制造烟火、火药、火柴、医药，以及玻璃工业,稳定
1596,溴酸钾,KBrO3,167.01,7758/1/2,溴酸钾,无色三角晶体或白色晶状粉末,无意义,350,370(分解),3.27(17.5℃)(水=1),无资料(空气=1),None,None,无意义,-7.18,无意义,无意义,None,无意义,无意义,溶于水，不溶于丙酮，微溶于乙醇,用作分析试剂、氧化剂、食品添加剂、羊毛漂白处理剂,稳定
1597,碘酸钾,KIO3,214,7758/5/6,碘酸钾,无色或白色晶状粉末，无臭,5～8(5%水溶液),560(分解),无资料,3.89(水=1),无资料(空气=1),None,None,无意义,无资料,无意义,无意义,None,无意义,无意义,溶于水、稀硫酸，溶于碘化钾溶液，不溶于乙醇、液氨,用作分析试剂、药物、饲料添加剂、食品添加剂等,稳定
1598,亚硝酸钾,KNO2,85.11,7758-09-0,亚硝酸钾,白色至微黄色棱柱形或条状结晶，易潮解,无意义,441(350℃开始分解),537(爆炸),1.92(水=1),无资料(空气=1),None,None,无意义,无资料,无意义,无意义,None,无意义,无意义,易溶于水，不溶于丙酮，微溶于乙醇，溶于热乙醇，易溶于液氨,用作分析试剂，用于医药及有机合成等,稳定
1599,铬酸铅,PbCrO4,323.18,7758-97-6,铬酸铅,黄色或橙黄色粉末。,None,844,分解,6.12(水=1),None,None,无意义,无意义,None,无意义,无意义,无意义,无意义,无意义,溶于碱液、无机酸，不溶于水，不溶于油类。,"用于制油漆、油墨、水彩、颜料, 还用于色纸、橡胶、塑料制品的着色。",None
1600,二苯甲基溴,None,None,776-74-9,None,带刺激性气味的固体，有催泪性。,None,45,184(2.66kPa),None,None,None,None,None,None,>110,None,None,None,None,溶于醇，易溶于苯。,用于有机合成。,None
1601,硝酸银,AgNO3,169.88,7761-88-8,硝酸银,无色透明的斜方结晶或白色的结晶，有苦味,无意义,212,444(分解),4.35(水=1),无资料(空气=1),None,None,无意义,无资料,无意义,无意义,None,无意义,无意义,易溶于水、氨水、甘油，微溶于乙醚,用于照相乳剂、镀银、制镜、印刷、医药、染毛发等，也用于电子工业,稳定
1602,碘化汞,HgI2,454.39,7774-29-0,碘化汞,黄色结晶或粉末,无意义,257～259,349～354,6.28(水=1),无资料(空气=1),0.13(157℃)(kPa),None,无资料,无资料,无意义,无意义,None,无意义,无意义,不溶于水，溶于甲醇、乙醇、乙醚、氯仿、甘油、丙酮、二硫化碳,用于医药和用作化学试剂,稳定
1603,氯酸钠,NaClO3,106.44,7775/9/9,氯酸钠,无色无味结晶，味咸而凉，有潮解性,无意义,248～261,分解,2.49(水=1),无资料(空气=1),None,None,无意义,-7.18,无意义,无意义,None,无意义,无意义,易溶于水，微溶于乙醇，溶于液氨、甘油,用作氧化剂，用于制氯酸盐、除草剂、医药品，也用于冶金矿石处理等,稳定
1604,铬酸钠,Na2CrO4,161.98,7775/11/3,铬酸钠,黄色单斜晶体，易潮解。,None,792,None,2.723/25℃(水=1),None,None,无意义,无意义,None,无意义,无意义,无意义,无意义,无意义,溶于水、甲醇，微溶于乙醇。,用于染色、鞣革和制铬黄颜料等。,None
1605,连二亚硫酸钠,Na2S2O4,174.1,7775-14-6,连二亚硫酸钠,白色砂状结晶或淡黄色粉末,无意义,52～55(分解),130(分解),2.1～2.2(水=1),无资料(空气=1),None,None,无资料,无资料,无意义,250,None,无资料,无资料,溶于水，不溶于乙醇,印染工业中作还原剂，丝、毛的漂白剂，还用于医药工业、选矿、硫脲及其硫化物的合成等,稳定
1606,过硫酸钠,Na2S2O8,238.1,7775-27-1,过硫酸钠,白色晶状粉末，无臭,无意义,分解,无资料,2.4(水=1),无资料(空气=1),None,None,无意义,无资料,无意义,无意义,None,无意义,无意义,溶于水，不溶于乙醇,用作漂白剂、氧化剂、乳液聚合促进剂,稳定
1607,砷酸,H3AsO4·1/2H2O,150.96,7778-39-4,砷酸,无色至白色透明斜方晶系细小板状结晶，具有潮解性,无意义,35.5,160(脱水),2.0～2.5(水=1),无资料(空气=1),None,None,无资料,无资料,无意义,无意义,None,无意义,无意义,溶于水，溶于乙醇、碱液、甘油,用于制造有机颜料，制备无机盐或有机砷酸盐，也用于制造杀虫剂、玻璃，并用于制药等,稳定
1608,砷酸钠(一氢),Na2HAsO4·7H2O,312.01,7778-43-0,砷酸钠(一氢),白色或灰白色粉末,无意义,86,150(分解),1.752(水=1),无资料(空气=1),None,None,无意义,无资料,无意义,无意义,None,无意义,无意义,溶于水、甘油，不溶于乙醚，微溶于乙醇,用作杀虫剂、防腐剂，也作为农业资源研究等,稳定
1609,砷酸钙,Ca3(AsO4)2,398.08,7778-44-1,砷酸钙,无色无定形粉末,无意义,1455(分解),无资料,3.62(水=1),无资料(空气=1),None,None,无意义,无资料,无意义,无意义,None,无意义,无意义,微溶于水，溶于稀酸，不溶于有机溶剂,用作杀虫剂、灭螺剂、杀菌剂等,稳定
1610,重铬酸钾,K2Cr2O7,294.2,7778-50-9,重铬酸钾,橘红色结晶,无意义,398,500(分解),2.68(水=1),无资料(空气=1),None,None,无意义,无资料,无意义,无意义,None,无意义,无意义,溶于水，不溶于乙醇，溶于苯、二甲基亚砜,用于皮革、火柴、印染、化学、电镀等工业,稳定
1611,次氯酸钙,Ca(ClO)2,142.98,7778-54-3,次氯酸钙,白色粉末，有极强的氯臭。其溶液为黄绿色半透明液体,11.5(5%溶液),100(分解),无资料,2.35(水=1),6.9(空气=1),None,None,无意义,-2.46,无意义,无意义,None,无意义,无意义,溶于水，不溶于乙醇,用作消毒剂、杀菌剂、漂白剂等,稳定
1612,过氯酸钾,KClO4,138.55,7778-74-7,过氯酸钾,无色结晶或白色晶状粉末,无意义,400～525(分解),分解,2.52(水=1),4.8(空气=1),None,None,无意义,无资料,无意义,无意义,None,无意义,无意义,溶于水，不溶于乙醇、乙醚,用作分析试剂、氧化剂、固体火箭燃料，也用于烟火及照明,稳定
1613,硝酸锌,Zn(NO3)2·6H2O,297.51,7779-88-6,硝酸锌,无色无味结晶或白色粉末，易潮解,6(1%水溶液),36～37,105(分解),2.07(水=1),10.3(空气=1),None,None,无意义,无资料,无意义,无意义,None,无意义,无意义,易溶于水，易溶于乙醇,用作酸化催化剂、乳胶凝结剂、树脂加工催化剂、印染媒染剂、钢铁磷化剂及化学试剂，也用于机器零件镀锌等,稳定
1614,氟,F2,38,7782-41-4,氟,淡黄色气体，有刺激性气味,无意义,-219,-188,1.14(-200℃)(水=1),1.695(空气=1),0.133(-223℃)(kPa),-129,5.57,0.22,无意义,无意义,None,无意义,无意义,与水反应,用作火箭燃料中的氧化剂，以及用于氟化合物、含氟塑料、氟橡胶等的制造,稳定
1615,氧,O2,32,7782-44-7,氧,无色无味气体,无意义,-218.8,-183.1,1.14(-183℃)(水=1),1.43(空气=1),506.62(-164℃)(kPa),-118.95,5.08,0.65,无资料,无资料,None,无资料,无资料,溶于水、乙醇,用于切割、焊接金属，制造医药、染料、炸药等,稳定
1616,硒粉；硒,Se,78.06,7782-49-2,None,灰色或暗红色粉末，能溶于硝酸、硫酸、碱类，不溶于水醇，在空气中受强热能燃烧，火焰为浅蓝色，并放出毒气，车间空气中，最高允许浓度为0.1mg/m^<3^>。$$相对密度(水=1)：4.81(20℃)；熔点：217℃；沸点：685。$$有毒。对皮肤和眼睛有刺激性。,None,217℃,685,4．8l(20℃)(水=1),None,None,None,None,None,None,None,None,None,None,None,用作照相曝光剂、冶金添加剂、石油产品导构化中的催化剂等。,None
1617,氯,Cl2,70.9,7782-50-5,氯,黄绿色、有刺激性气味的气体,无意义,-101,-34,1.41(20℃)(水=1),2.5(空气=1),673(20℃)(kPa),144,7.71,0.85,无意义,无意义,None,无意义,无意义,微溶于冷水，溶于碱、氯化物和醇类,用于漂白，制造氯化合物、盐酸、聚氯乙烯等,稳定
1618,碘酸,HIO3,175.91,7782-68-5,碘酸,无色斜方结晶，或有光泽的白色结晶,无资料,110(分解),无资料,4.63(水=1),无资料(空气=1),None,None,无意义,无资料,无意义,无意义,None,无意义,无意义,易溶于水、硝酸，不溶于乙醇、乙醚、乙酸、二硫化碳,用作分析试剂，用于制造药物等,稳定
1619,亚硒酸氢钠,NaHSeO3,None,7782-82-3,亚硒酸氢钠,白色无臭的针状或柱状结晶或粉末,None,None,None,None,None,None,None,None,None,None,None,None,None,None,溶于水，不溶于醇,None,None
1620,硝酸亚汞,Hg2(NO3)2·2H2O,561.22,7782-86-7,硝酸亚汞,无色棱形结晶或单斜板状结晶，有潮解性,无意义,70(分解),分解,4.79(水=1),无资料(空气=1),None,None,无意义,无资料,无意义,无意义,None,无意义,无意义,溶于水、稀硝酸，不溶于乙醇、乙醚,用作分析试剂、氧化剂，也用于制药,稳定
1621,氨基(化)锂,LiNH2,22.69,7782-89-0,None,白色结晶或粉末，有氨的气味，遇水分解，不溶于醚、苯、甲苯。$$相对密度(水=1)：1．178(17．5℃)；熔点：380～400℃；沸点：430℃。$$本品化学性质比较活泼，有剧毒性，遇水或空气中的水分，即分解生成氨和强碱性的氢氧化锂；与酸或酸的蒸气以及氧化剂能发生剧烈反应，而产生高热，可能引起燃烧。,None,380～400℃,430℃,(水=1)：1．178(17．5℃）(水=1),None,None,None,None,None,None,None,None,None,None,None,主要用于有机合成及制药等。,None
1622,亚硫酸,H2O3S,82.08,7782-99-2,亚硫酸,无色透明液体，具有二氧化硫的窒息气味，易分解,无资料,无资料,无资料,1.03(水=1),2.8(空气=1),None,None,无资料,无资料,无意义,无意义,None,无意义,无意义,溶于水,用作分析试剂、还原剂及防腐剂，用于纺织、造纸、冶金工业和有机合成,稳定
1623,亚硒酸,H2SeO3,128.97,7783-00-8,亚硒酸,无色透明六方棱柱体结晶。,None,70 °C,None,3.004 g/mL(水=1),None,None,None,None,None,None,None,None,None,None,有潮解性。溶于水、乙醇，不溶于氨水,测定钛、锆、氟化氢的试剂。与乙炔、酚和生物碱反应灵敏。氧化剂。,None
1624,硫化氢,H2S,34.08,7783/6/4,硫化氢,无色、有恶臭味的气体,4.5(1%水溶液),-85.5,-60.3,1.54(水=1),1.19(空气=1),2026.5(25.5℃)(kPa),100.4,9.01,0.23,-106,260,None,4,46,溶于水、乙醇、二硫化碳、甘油、汽油、煤油等,用于制造无机硫化物，还用于化学分析如鉴定金属离子,稳定
1625,硒化氢,H2Se,80.98,7783/7/5,硒化氢,无色、有恶臭的气体。,None,-66.1,-41.1,2.12/-42℃(水=1),None,53.32/-53.6℃(kPa),None,None,None,<-50,None,None,None,None,溶于水、二硫化碳。,半导体用料，及制金属硒化物和含硒的有机化合物等。,None
1626,硒酸,H2SeO4,144.98,7783/8/6,硒酸,白色六方柱晶体，极易吸潮,无意义,58,260(分解),2.95(水=1),无资料(空气=1),None,None,无资料,-3.18,无意义,无意义,None,无意义,无意义,易溶于水，不溶于氨水，溶于硫酸,用作鉴别甲醇和乙醇的试剂，及硒酸盐制备,稳定
1627,碘化钾汞,None,None,7783-33-7,None,黄色至亮桔红色重质结晶或粉末。在空气中易潮解。,None,None,None,4.29(水=1),None,None,None,None,None,无意义,无意义,无意义,无意义,无意义,易溶于水，溶于醇、丙酮、醚。,用作杀菌剂及配制选矿液。,None
1628,硫酸汞,None,None,7783-35-9,None,白色结晶粉末，无气味。,None,(分解),None,6.47(水=1),None,None,无意义,无意义,None,无意义,无意义,无意义,无意义,无意义,溶于盐酸、热硫酸、浓氯化钠、溶，不溶于丙酮、氨水。,用于制甘汞、升汞和蓄电池组，并用作乙烯水合制乙醛的催化剂。,None
1629,二氟化氧,OF2,54,7783-41-7,二氟化氧,无色、有轻微刺激的气体。液态时为棕黄色,无意义,-223.8,-144.75,1.90(-224℃，液体)(水=1),1.86(空气=1),101.08(-144.6℃)(kPa),-58,0.5,无资料,无意义,无意义,None,无意义,无意义,微溶于水、乙醇、酸和碱，不溶于热水,用于氧化和氟化反应，用作火箭燃料系统中的氧化剂,稳定
1630,二氟化铅,PbF2,245.19,7783-46-2,二氟化铅,白色结晶或粉末,无意义,824,1293,8.445(斜方晶体); 7.75(立方晶体)(水=1),无资料(空气=1),1.33(904℃)(kPa),None,无资料,无资料,无意义,无意义,None,无意义,无意义,微溶于水，不溶于氨、丙酮、乙酸、氢氟酸，溶于硝酸,用作红外线分光材料及同步加速器材料、熔接剂及除硫剂,稳定
1631,氟化锌,ZnF2,103.37,7783-49-5,氟化锌,白色结晶粉末,无意义,872,1500,4.84(水=1),无资料(空气=1),0.13(970℃)(kPa),None,无资料,无资料,无意义,无意义,None,无意义,无意义,微溶于水，溶于热酸、盐酸、硝酸和氢氧化铵，不溶于乙醇,用于陶瓷釉药，电镀; 用作木材浸渍剂，钎剂和分析试剂,稳定
1632,三氟化氮,NF3,71.01,7783-54-2,三氟化氮,无色、带霉昧的气体,无意义,-208.5,-129,1.89(沸点，液体)(水=1),2.45(空气=1),None,-39.3,4.53,无资料,无意义,无意义,None,无意义,无意义,不溶于水,用作高能燃料,稳定
1633,三氟化磷,None,None,7783-55-3,None,无色气体，遇湿气缓慢分解。,None,-152,-102,None,3.907(空气=1),None,-2.05,4.33,None,无意义,无意义,无意义,无意义,无意义,溶于乙醇。,用于发生气体。,None
1634,三氟化锑,SbF3,178.75,7783-56-4,三氟化锑,白色至灰色结晶，易潮解,无意义,292,376,4.38(20℃)(水=1),无资料(空气=1),None,None,无资料,无资料,无意义,无意义,None,无意义,无意义,溶于水，溶于甲醇、乙醇和极性有机溶剂，不溶于苯、氯苯和石油醚,用作分析试剂、织物媒染剂,稳定
1635,四氟化硫,None,None,7783-60-0,None,无色、带刺激性气味的气体。,None,-124,-38,1.95(液);2.35(固)(水=1),3.7(空气=1),None,91,None,None,无意义,无意义,无意义,无意义,无意义,易溶于苯。,用作氟化剂。,None
1636,四氟化硅,SiF4,104.09,7783-61-1,四氟化硅,无色刺激性气体，易潮解，在潮湿空气中可产生浓烟雾,无意义,-90.2,-86,1.598(-80℃，液体)(水=1),3.6(空气=1),None,-1.5,5.07,无资料,无意义,无意义,None,无意义,无意义,溶于乙醇、硝酸、氢氟酸，不溶于乙醚,用于氟硅酸及氟化铅的制取，也用作水泥和人造大理石的硬化剂，制造纯硅的中间体,稳定
1637,氟化锆,None,None,7783-64-4,None,无色有强折光率的透明单斜系结晶。,None,932,None,4.6(16℃)(水=1),None,None,无意义,无意义,None,无意义,无意义,无意义,无意义,无意义,不溶于水，易溶于氢氟酸。,原子反应堆用助熔性盐。,None
1638,五氟化碘,None,None,7783-66-6,None,无色液体或白色固体。,None,9.43,100.5,3.19(25℃ )(水=1),None,1.33(8.5℃)(kPa),None,None,None,无意义,无意义,无意义,无意义,无意义,None,用作氟化剂和燃烧剂。,None
1639,五氟化锑,None,None,7783-70-2,None,无色油状液体。,None,None,149.5,2.99(水=1),2.2(空气=1),1.33/25℃(kPa),None,None,None,无意义,无意义,无意义,无意义,无意义,溶于无水乙醇。,用于制取锑化合物。,None
1640,六氟化硒,None,None,7783-79-1,None,无色、有气味的气体。,None,-39(升华),-34.5,3.25(-25℃)(水=1),7.1(空气=1),86.8(-48.7℃)(kPa),None,None,None,无意义,无意义,无意义,无意义,无意义,不溶于水。,用作氟化剂。,None
1641,六氟化碲,None,None,7783-80-4,None,无色、有蒜臭的气体。,None,-37.6,35.5,4.01(固);2.50(液)(水=1),7.2(空气=1),None,None,None,None,无意义,无意义,无意义,无意义,无意义,None,用作化学药品。,None
1642,六氟化钨,None,None,7783-82-6,None,"无色气体或浅黄色液体或固体，固体为易潮解的白色结晶, 接触潮湿空气冒烟。",None,2.3,17.5,3.44(15℃)(水=1),None,None,171,0.45,None,无意义,无意义,无意义,无意义,无意义,溶于多数有机溶剂。,"用于钨的化学蒸镀, 用作氟化剂。",None
1643,溴酸银,AgBrO3,235.8,7783-89-3,溴酸银,白色粉末，对光敏感,无意义,分解,无资料,5.21(水=1),无资料(空气=1),None,None,无意义,无资料,无意义,无意义,None,无意义,无意义,不溶于冷水，微溶于热水，溶于氨水,用作氧化剂,稳定
1644,氯酸银,None,None,7783-92-8,None,"白色四角形结晶,在阳光下分解变黑。",None,230,270(分解),4.430(水=1),None,None,无意义,无意义,None,无意义,无意义,无意义,无意义,无意义,溶于水，微溶于醇。,"用作氧化剂,并用于有机合成。",None
1645,过氯酸银,AgClO4,207.32,7783-93-9,过氯酸银,白色结晶，有潮解性,无意义,486(分解),无资料,2.806(25℃/4℃)(水=1),无资料(空气=1),None,None,无意义,-5.73,无意义,无意义,None,无意义,无意义,溶于水，溶于乙醇、苯、甲苯等,用作氧化剂,稳定
1646,碘酸银,AgIO3,282.81,7783-97-3,碘酸银,白色棱形结晶或粉末,无意义,>200,无资料,5.52(水=1),无资料(空气=1),None,None,无意义,无资料,无意义,无意义,None,无意义,无意义,微溶于水，溶于硝酸、氨水,用作化学试剂以及用于测定血中的少量氯化物,稳定
1647,氢化铝,AlH3,29.98,7784-21-6,None,本品为白色至灰色粉末。$$在空气中能自行氧化燃烧，遇水、乙醇、酸类会发生分解、放出氢，加热至160℃时分解引起燃烧，与氧化剂反应更加剧烈。,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,主要用于塑料制品、电镀、火箭材料等。,None
1648,硝酸铝,Al(NO3)3,213,7784-27-2,硝酸铝,无色或白色易潮解的单斜晶体,无意义,73.5,135(分解),无资料(水=1),无资料(空气=1),None,None,无意义,无意义,无意义,无意义,None,无意义,无意义,易溶于冷水、乙醇、二硫化碳，不溶于乙酸乙酯，微溶于丙酮,用于有机合成、石油加工的催化剂、纺织工业的媒染剂,稳定
